Make,Model,Year,Engine_HP,Engine_Cylinders,Transmission_Type,Driven_Wheels,Number_of_Doors,Market_Category,Vehicle_Size,Vehicle_Style,highway_MPG,city_mpg,Popularity,MSRP,Fuel_Type,price_category,avg_mpg
Audi,100,1992,172.0,6.0,MANUAL,FWD,4.0,Luxury,Midsize,Sedan,24,17,3105,2000,petrol,Low,20.5
Audi,100,1992,172.0,6.0,AUTOMATIC,AWD,4.0,Luxury,Midsize,Wagon,20,16,3105,2000,petrol,Low,18.0
Audi,100,1992,172.0,6.0,MANUAL,AWD,4.0,Luxury,Midsize,Sedan,21,16,3105,2000,petrol,Low,18.5
Audi,100,1993,172.0,6.0,MANUAL,FWD,4.0,Luxury,Midsize,Sedan,24,17,3105,2000,petrol,Low,20.5
Audi,100,1993,172.0,6.0,AUTOMATIC,AWD,4.0,Luxury,Midsize,Wagon,20,16,3105,2000,petrol,Low,18.0
Audi,100,1993,172.0,6.0,MANUAL,AWD,4.0,Luxury,Midsize,Sedan,21,16,3105,2000,petrol,Low,18.5
Audi,100,1994,172.0,6.0,AUTOMATIC,FWD,4.0,Luxury,Midsize,Wagon,21,16,3105,2000,petrol,Low,18.5
Audi,100,1994,172.0,6.0,MANUAL,AWD,4.0,Luxury,Midsize,Sedan,22,16,3105,2000,petrol,Low,19.0
Audi,100,1994,172.0,6.0,MANUAL,FWD,4.0,Luxury,Midsize,Sedan,22,17,3105,2000,petrol,Low,19.5
Audi,100,1994,172.0,6.0,AUTOMATIC,FWD,4.0,Luxury,Midsize,Sedan,22,16,3105,2000,petrol,Low,19.0
Audi,100,1994,172.0,6.0,AUTOMATIC,AWD,4.0,Luxury,Midsize,Wagon,21,16,3105,2000,petrol,Low,18.5
FIAT,124 Spider,2017,160.0,4.0,MANUAL,RWD,2.0,Performance,Compact,Convertible,35,26,819,27495,petrol,Medium,30.5
FIAT,124 Spider,2017,160.0,4.0,MANUAL,RWD,2.0,Performance,Compact,Convertible,35,26,819,24995,petrol,Medium,30.5
FIAT,124 Spider,2017,160.0,4.0,MANUAL,RWD,2.0,Performance,Compact,Convertible,35,26,819,28195,petrol,Medium,30.5
Mercedes-Benz,190-Class,1991,130.0,4.0,MANUAL,RWD,4.0,Luxury,Compact,Sedan,26,18,617,2000,petrol,Low,22.0
Mercedes-Benz,190-Class,1991,158.0,6.0,MANUAL,RWD,4.0,Luxury,Compact,Sedan,25,17,617,2000,petrol,Low,21.0
Mercedes-Benz,190-Class,1992,158.0,6.0,MANUAL,RWD,4.0,Luxury,Compact,Sedan,25,17,617,2000,petrol,Low,21.0
Mercedes-Benz,190-Class,1992,130.0,4.0,MANUAL,RWD,4.0,Luxury,Compact,Sedan,26,18,617,2000,petrol,Low,22.0
Mercedes-Benz,190-Class,1993,130.0,4.0,MANUAL,RWD,4.0,Luxury,Compact,Sedan,26,18,617,2000,petrol,Low,22.0
Mercedes-Benz,190-Class,1993,158.0,6.0,MANUAL,RWD,4.0,Luxury,Compact,Sedan,25,17,617,2000,petrol,Low,21.0
BMW,2 Series,2016,240.0,4.0,AUTOMATIC,RWD,2.0,Performance,Compact,Coupe,35,23,3916,32850,petrol,Medium,29.0
BMW,2 Series,2016,240.0,4.0,AUTOMATIC,RWD,2.0,Luxury,Compact,Convertible,34,23,3916,38650,petrol,Medium,28.5
BMW,2 Series,2016,320.0,6.0,AUTOMATIC,RWD,2.0,High-Performance,Compact,Convertible,31,20,3916,48750,petrol,Medium,25.5
BMW,2 Series,2016,240.0,4.0,AUTOMATIC,AWD,2.0,Performance,Compact,Coupe,35,23,3916,34850,petrol,Medium,29.0
BMW,2 Series,2016,240.0,4.0,AUTOMATIC,AWD,2.0,Luxury,Compact,Convertible,34,22,3916,40650,petrol,Medium,28.0
BMW,2 Series,2016,320.0,6.0,AUTOMATIC,RWD,2.0,High-Performance,Compact,Coupe,31,20,3916,44150,petrol,Medium,25.5
BMW,2 Series,2016,240.0,4.0,MANUAL,RWD,2.0,Performance,Compact,Coupe,34,22,3916,32850,petrol,Medium,28.0
BMW,2 Series,2016,320.0,6.0,AUTOMATIC,AWD,2.0,High-Performance,Compact,Coupe,30,20,3916,46150,petrol,Medium,25.0
BMW,2 Series,2016,320.0,6.0,AUTOMATIC,RWD,2.0,High-Performance,Compact,Convertible,30,20,3916,50750,petrol,High,25.0
BMW,2 Series,2017,335.0,6.0,AUTOMATIC,AWD,2.0,High-Performance,Compact,Coupe,31,21,3916,46450,petrol,Medium,26.0
BMW,2 Series,2017,335.0,6.0,AUTOMATIC,RWD,2.0,High-Performance,Compact,Convertible,32,21,3916,49050,petrol,Medium,26.5
BMW,2 Series,2017,335.0,6.0,AUTOMATIC,AWD,2.0,High-Performance,Compact,Convertible,32,21,3916,51050,petrol,High,26.5
BMW,2 Series,2017,335.0,6.0,AUTOMATIC,RWD,2.0,High-Performance,Compact,Coupe,32,21,3916,44450,petrol,Medium,26.5
BMW,2 Series,2017,248.0,4.0,AUTOMATIC,RWD,2.0,Performance,Compact,Convertible,34,23,3916,38950,petrol,Medium,28.5
BMW,2 Series,2017,248.0,4.0,AUTOMATIC,RWD,2.0,Performance,Compact,Coupe,35,24,3916,33150,petrol,Medium,29.5
BMW,2 Series,2017,248.0,4.0,AUTOMATIC,AWD,2.0,Performance,Compact,Coupe,33,24,3916,35150,petrol,Medium,28.5
BMW,2 Series,2017,248.0,4.0,AUTOMATIC,AWD,2.0,Luxury,Compact,Convertible,33,23,3916,40950,petrol,Medium,28.0
Audi,200,1990,162.0,5.0,AUTOMATIC,FWD,4.0,Luxury,Midsize,Sedan,20,16,3105,2000,petrol,Low,18.0
Audi,200,1990,162.0,5.0,MANUAL,AWD,4.0,Luxury,Midsize,Wagon,22,15,3105,2000,petrol,Low,18.5
Audi,200,1990,162.0,5.0,MANUAL,AWD,4.0,Luxury,Midsize,Sedan,23,15,3105,2000,petrol,Low,19.0
Audi,200,1991,217.0,5.0,MANUAL,AWD,4.0,Performance,Midsize,Sedan,22,16,3105,2000,petrol,Low,19.0
Audi,200,1991,217.0,5.0,MANUAL,AWD,4.0,Performance,Midsize,Wagon,22,16,3105,2000,petrol,Low,19.0
Audi,200,1991,162.0,5.0,AUTOMATIC,FWD,4.0,Luxury,Midsize,Sedan,20,16,3105,2000,petrol,Low,18.0
Chrysler,200,2015,184.0,4.0,AUTOMATIC,FWD,4.0,Flex Fuel,Midsize,Sedan,36,23,1013,25170,flex_fuel,Medium,29.5
Chrysler,200,2015,184.0,4.0,AUTOMATIC,FWD,4.0,Flex Fuel,Midsize,Sedan,36,23,1013,23950,flex_fuel,Medium,29.5
Chrysler,200,2015,295.0,6.0,AUTOMATIC,AWD,4.0,Performance,Midsize,Sedan,29,18,1013,29370,flex_fuel,Medium,23.5
Chrysler,200,2015,184.0,4.0,AUTOMATIC,FWD,4.0,Flex Fuel,Midsize,Sedan,36,23,1013,21995,flex_fuel,Medium,29.5
Chrysler,200,2015,184.0,4.0,AUTOMATIC,FWD,4.0,Performance,Midsize,Sedan,36,23,1013,26625,flex_fuel,Medium,29.5
Chrysler,200,2015,295.0,6.0,AUTOMATIC,AWD,4.0,Performance,Midsize,Sedan,29,18,1013,30825,flex_fuel,Medium,23.5
Chrysler,200,2016,184.0,4.0,AUTOMATIC,FWD,4.0,Flex Fuel,Midsize,Sedan,36,23,1013,21995,flex_fuel,Medium,29.5
Chrysler,200,2016,184.0,4.0,AUTOMATIC,FWD,4.0,Flex Fuel,Midsize,Sedan,36,23,1013,27795,flex_fuel,Medium,29.5
Chrysler,200,2016,295.0,6.0,AUTOMATIC,AWD,4.0,Performance,Midsize,Sedan,29,18,1013,31785,flex_fuel,Medium,23.5
Chrysler,200,2016,295.0,6.0,AUTOMATIC,AWD,4.0,Performance,Midsize,Sedan,29,18,1013,29905,flex_fuel,Medium,23.5
Chrysler,200,2016,184.0,4.0,AUTOMATIC,FWD,4.0,Flex Fuel,Midsize,Sedan,36,23,1013,22490,flex_fuel,Medium,29.5
Chrysler,200,2016,184.0,4.0,AUTOMATIC,FWD,4.0,Flex Fuel,Midsize,Sedan,36,23,1013,27570,flex_fuel,Medium,29.5
Chrysler,200,2016,184.0,4.0,AUTOMATIC,FWD,4.0,Flex Fuel,Midsize,Sedan,36,23,1013,25690,flex_fuel,Medium,29.5
Chrysler,200,2016,184.0,4.0,AUTOMATIC,FWD,4.0,Flex Fuel,Midsize,Sedan,36,23,1013,24490,flex_fuel,Medium,29.5
Chrysler,200,2017,295.0,6.0,AUTOMATIC,AWD,4.0,Performance,Midsize,Sedan,28,18,1013,29905,flex_fuel,Medium,23.0
Chrysler,200,2017,295.0,6.0,AUTOMATIC,AWD,4.0,Performance,Midsize,Sedan,28,18,1013,31785,flex_fuel,Medium,23.0
Chrysler,200,2017,184.0,4.0,AUTOMATIC,FWD,4.0,Flex Fuel,Midsize,Sedan,36,23,1013,26685,flex_fuel,Medium,29.5
Chrysler,200,2017,184.0,4.0,AUTOMATIC,FWD,4.0,Flex Fuel,Midsize,Sedan,36,23,1013,22490,flex_fuel,Medium,29.5
Chrysler,200,2017,184.0,4.0,AUTOMATIC,FWD,4.0,Flex Fuel,Midsize,Sedan,36,23,1013,25690,flex_fuel,Medium,29.5
Chrysler,200,2017,295.0,6.0,AUTOMATIC,AWD,4.0,Performance,Midsize,Sedan,28,18,1013,30900,flex_fuel,Medium,23.0
Chrysler,200,2017,184.0,4.0,AUTOMATIC,FWD,4.0,Flex Fuel,Midsize,Sedan,36,23,1013,27795,flex_fuel,Medium,29.5
Chrysler,200,2017,184.0,4.0,AUTOMATIC,FWD,4.0,Flex Fuel,Midsize,Sedan,36,23,1013,21995,flex_fuel,Medium,29.5
Chrysler,200,2017,184.0,4.0,AUTOMATIC,FWD,4.0,Flex Fuel,Midsize,Sedan,36,23,1013,24490,flex_fuel,Medium,29.5
Nissan,200SX,1996,115.0,4.0,MANUAL,FWD,2.0,Crossover,Compact,Coupe,36,26,2009,2000,petrol,Low,31.0
Nissan,200SX,1996,140.0,4.0,MANUAL,FWD,2.0,Performance,Compact,Coupe,29,21,2009,2000,petrol,Low,25.0
Nissan,200SX,1997,140.0,4.0,MANUAL,FWD,2.0,Performance,Compact,Coupe,29,21,2009,2000,petrol,Low,25.0
Nissan,200SX,1997,115.0,4.0,MANUAL,FWD,2.0,Crossover,Compact,Coupe,35,25,2009,2000,petrol,Low,30.0
Nissan,200SX,1998,115.0,4.0,MANUAL,FWD,2.0,Crossover,Compact,Coupe,35,25,2009,2000,petrol,Low,30.0
Nissan,200SX,1998,140.0,4.0,MANUAL,FWD,2.0,Performance,Compact,Coupe,28,20,2009,2073,petrol,Low,24.0
Nissan,240SX,1996,155.0,4.0,MANUAL,RWD,2.0,Performance,Compact,Coupe,26,19,2009,3713,petrol,Low,22.5
Nissan,240SX,1996,155.0,4.0,MANUAL,RWD,2.0,Performance,Compact,Coupe,26,19,2009,3520,petrol,Low,22.5
Nissan,240SX,1997,155.0,4.0,MANUAL,RWD,2.0,Performance,Compact,Coupe,26,19,2009,3910,petrol,Low,22.5
Nissan,240SX,1997,155.0,4.0,MANUAL,RWD,2.0,Performance,Compact,Coupe,26,19,2009,4182,petrol,Low,22.5
Nissan,240SX,1997,155.0,4.0,MANUAL,RWD,2.0,Performance,Compact,Coupe,26,19,2009,4107,petrol,Low,22.5
Nissan,240SX,1998,155.0,4.0,MANUAL,RWD,2.0,Performance,Compact,Coupe,25,20,2009,4299,petrol,Low,22.5
Nissan,240SX,1998,155.0,4.0,MANUAL,RWD,2.0,Performance,Compact,Coupe,25,20,2009,4693,petrol,Low,22.5
Nissan,240SX,1998,155.0,4.0,MANUAL,RWD,2.0,Performance,Compact,Coupe,25,20,2009,4107,petrol,Low,22.5
Volvo,240,1991,114.0,4.0,MANUAL,RWD,4.0,Luxury,Midsize,Wagon,26,19,870,2000,petrol,Low,22.5
Volvo,240,1991,114.0,4.0,AUTOMATIC,RWD,4.0,Luxury,Midsize,Wagon,23,18,870,2000,petrol,Low,20.5
Volvo,240,1991,114.0,4.0,MANUAL,RWD,4.0,Luxury,Midsize,Sedan,26,19,870,2000,petrol,Low,22.5
Volvo,240,1992,114.0,4.0,MANUAL,RWD,4.0,Luxury,Midsize,Sedan,26,19,870,2000,petrol,Low,22.5
Volvo,240,1992,114.0,4.0,MANUAL,RWD,4.0,Luxury,Midsize,Wagon,26,19,870,2000,petrol,Low,22.5
Volvo,240,1993,114.0,4.0,MANUAL,RWD,4.0,Luxury,Midsize,Sedan,26,19,870,2000,petrol,Low,22.5
Volvo,240,1993,114.0,4.0,MANUAL,RWD,4.0,Luxury,Midsize,Wagon,25,18,870,2000,petrol,Low,21.5
Mazda,2,2012,100.0,4.0,MANUAL,FWD,4.0,Hatchback,Compact,Hatchback,35,29,586,16020,petrol,Low,32.0
Mazda,2,2012,100.0,4.0,MANUAL,FWD,4.0,Hatchback,Compact,Hatchback,35,29,586,14530,petrol,Low,32.0
Mazda,2,2012,100.0,4.0,AUTOMATIC,FWD,4.0,Hatchback,Compact,Hatchback,34,28,586,16860,petrol,Low,31.0
Mazda,2,2012,100.0,4.0,AUTOMATIC,FWD,4.0,Hatchback,Compact,Hatchback,34,28,586,15370,petrol,Low,31.0
Mazda,2,2013,100.0,4.0,AUTOMATIC,FWD,4.0,Hatchback,Compact,Hatchback,34,28,586,17050,petrol,Low,31.0
Mazda,2,2013,100.0,4.0,AUTOMATIC,FWD,4.0,Hatchback,Compact,Hatchback,34,28,586,15560,petrol,Low,31.0
Mazda,2,2013,100.0,4.0,MANUAL,FWD,4.0,Hatchback,Compact,Hatchback,35,29,586,16210,petrol,Low,32.0
Mazda,2,2013,100.0,4.0,MANUAL,FWD,4.0,Hatchback,Compact,Hatchback,35,29,586,14720,petrol,Low,32.0
Mazda,2,2014,100.0,4.0,AUTOMATIC,FWD,4.0,Hatchback,Compact,Hatchback,34,28,586,17050,petrol,Low,31.0
Mazda,2,2014,100.0,4.0,AUTOMATIC,FWD,4.0,Hatchback,Compact,Hatchback,34,28,586,15560,petrol,Low,31.0
Mazda,2,2014,100.0,4.0,MANUAL,FWD,4.0,Hatchback,Compact,Hatchback,35,29,586,16210,petrol,Low,32.0
Mazda,2,2014,100.0,4.0,MANUAL,FWD,4.0,Hatchback,Compact,Hatchback,35,29,586,14720,petrol,Low,32.0
BMW,3 Series Gran Turismo,2015,300.0,6.0,AUTOMATIC,AWD,4.0,Performance,Midsize,Hatchback,30,20,3916,47250,petrol,Medium,25.0
BMW,3 Series Gran Turismo,2015,240.0,4.0,AUTOMATIC,AWD,4.0,Luxury,Midsize,Hatchback,33,22,3916,41850,petrol,Medium,27.5
BMW,3 Series Gran Turismo,2016,240.0,4.0,AUTOMATIC,AWD,4.0,Luxury,Midsize,Hatchback,34,22,3916,43000,petrol,Medium,28.0
BMW,3 Series Gran Turismo,2016,300.0,6.0,AUTOMATIC,AWD,4.0,Performance,Midsize,Hatchback,30,20,3916,49200,petrol,Medium,25.0
BMW,3 Series Gran Turismo,2017,320.0,6.0,AUTOMATIC,AWD,4.0,Performance,Midsize,Hatchback,30,20,3916,49650,petrol,Medium,25.0
BMW,3 Series Gran Turismo,2017,248.0,4.0,AUTOMATIC,AWD,4.0,Luxury,Midsize,Hatchback,33,23,3916,43950,petrol,Medium,28.0
BMW,3 Series,2015,241.0,4.0,AUTOMATIC,AWD,4.0,Luxury,Midsize,Wagon,33,22,3916,41950,petrol,Medium,27.5
BMW,3 Series,2015,335.0,6.0,AUTOMATIC,RWD,4.0,Hybrid,Midsize,Sedan,33,25,3916,50150,petrol,High,29.0
BMW,3 Series,2015,240.0,4.0,AUTOMATIC,RWD,4.0,Performance,Midsize,Sedan,35,23,3916,37500,petrol,Medium,29.0
BMW,3 Series,2015,300.0,6.0,AUTOMATIC,RWD,4.0,High-Performance,Midsize,Sedan,32,21,3916,43750,petrol,Medium,26.5
BMW,3 Series,2015,180.0,4.0,AUTOMATIC,RWD,4.0,Luxury,Midsize,Sedan,45,32,3916,39000,diesel,Medium,38.5
BMW,3 Series,2015,240.0,4.0,AUTOMATIC,AWD,4.0,Luxury,Midsize,Sedan,33,22,3916,39500,petrol,Medium,27.5
BMW,3 Series,2015,180.0,4.0,AUTOMATIC,AWD,4.0,Luxury,Midsize,Sedan,35,23,3916,34950,petrol,Medium,29.0
BMW,3 Series,2015,300.0,6.0,AUTOMATIC,AWD,4.0,Performance,Midsize,Sedan,30,20,3916,45750,petrol,Medium,25.0
BMW,3 Series,2015,180.0,4.0,AUTOMATIC,AWD,4.0,Luxury,Midsize,Wagon,43,31,3916,43450,diesel,Medium,37.0
BMW,3 Series,2015,180.0,4.0,AUTOMATIC,AWD,4.0,Luxury,Midsize,Sedan,43,31,3916,41000,diesel,Medium,37.0
BMW,3 Series,2015,180.0,4.0,AUTOMATIC,RWD,4.0,Luxury,Midsize,Sedan,36,24,3916,32950,petrol,Medium,30.0
BMW,3 Series,2016,180.0,4.0,AUTOMATIC,AWD,4.0,Luxury,Midsize,Sedan,40,30,3916,41850,diesel,Medium,35.0
BMW,3 Series,2016,320.0,6.0,AUTOMATIC,AWD,4.0,High-Performance,Midsize,Sedan,33,22,3916,47800,petrol,Medium,27.5
BMW,3 Series,2016,180.0,4.0,AUTOMATIC,RWD,4.0,Luxury,Midsize,Sedan,42,32,3916,39850,diesel,Medium,37.0
BMW,3 Series,2016,240.0,4.0,AUTOMATIC,RWD,4.0,Performance,Midsize,Sedan,34,22,3916,38350,petrol,Medium,28.0
BMW,3 Series,2016,240.0,4.0,AUTOMATIC,AWD,4.0,Luxury,Midsize,Sedan,34,22,3916,40350,petrol,Medium,28.0
BMW,3 Series,2016,240.0,4.0,MANUAL,RWD,4.0,Performance,Midsize,Sedan,34,22,3916,38350,petrol,Medium,28.0
BMW,3 Series,2016,240.0,4.0,AUTOMATIC,AWD,4.0,Luxury,Midsize,Wagon,34,22,3916,42650,petrol,Medium,28.0
BMW,3 Series,2016,180.0,4.0,AUTOMATIC,RWD,4.0,Luxury,Midsize,Sedan,36,24,3916,33150,petrol,Medium,30.0
BMW,3 Series,2016,180.0,4.0,AUTOMATIC,AWD,4.0,Luxury,Midsize,Sedan,35,23,3916,35150,petrol,Medium,29.0
BMW,3 Series,2016,180.0,4.0,AUTOMATIC,AWD,4.0,Luxury,Midsize,Wagon,40,30,3916,44150,diesel,Medium,35.0
BMW,3 Series,2016,320.0,6.0,AUTOMATIC,RWD,4.0,High-Performance,Midsize,Sedan,33,22,3916,45800,petrol,Medium,27.5
BMW,3 Series,2017,248.0,4.0,AUTOMATIC,RWD,4.0,Performance,Midsize,Sedan,34,23,3916,38750,petrol,Medium,28.5
BMW,3 Series,2017,180.0,4.0,AUTOMATIC,AWD,4.0,Luxury,Midsize,Sedan,34,23,3916,35450,petrol,Medium,28.5
BMW,3 Series,2017,180.0,4.0,AUTOMATIC,RWD,4.0,Luxury,Midsize,Sedan,35,23,3916,33450,petrol,Medium,29.0
BMW,3 Series,2017,248.0,4.0,AUTOMATIC,AWD,4.0,Luxury,Midsize,Sedan,33,23,3916,40750,petrol,Medium,28.0
BMW,3 Series,2017,180.0,4.0,AUTOMATIC,AWD,4.0,Luxury,Midsize,Sedan,40,30,3916,42250,diesel,Medium,35.0
BMW,3 Series,2017,248.0,4.0,AUTOMATIC,AWD,4.0,Luxury,Midsize,Wagon,33,23,3916,42950,petrol,Medium,28.0
BMW,3 Series,2017,180.0,4.0,AUTOMATIC,RWD,4.0,Luxury,Midsize,Sedan,42,32,3916,40250,diesel,Medium,37.0
BMW,3 Series,2017,320.0,6.0,AUTOMATIC,AWD,4.0,Performance,Midsize,Sedan,31,21,3916,49900,petrol,Medium,26.0
BMW,3 Series,2017,320.0,6.0,AUTOMATIC,RWD,4.0,High-Performance,Midsize,Sedan,32,21,3916,47900,petrol,Medium,26.5
BMW,3 Series,2017,180.0,4.0,AUTOMATIC,AWD,4.0,Luxury,Midsize,Wagon,40,30,3916,44450,diesel,Medium,35.0
Mercedes-Benz,300-Class,1991,177.0,6.0,AUTOMATIC,RWD,4.0,Luxury,Large,Sedan,19,15,617,2232,petrol,Low,17.0
Mercedes-Benz,300-Class,1991,177.0,6.0,AUTOMATIC,RWD,4.0,Luxury,Midsize,Wagon,20,15,617,2000,petrol,Low,17.5
Mercedes-Benz,300-Class,1991,158.0,6.0,AUTOMATIC,RWD,4.0,Luxury,Midsize,Sedan,22,17,617,2000,petrol,Low,19.5
Mercedes-Benz,300-Class,1991,177.0,6.0,AUTOMATIC,AWD,4.0,Luxury,Midsize,Sedan,20,15,617,2105,petrol,Low,17.5
Mercedes-Benz,300-Class,1991,177.0,6.0,AUTOMATIC,AWD,4.0,Luxury,Midsize,Wagon,18,15,617,2199,petrol,Low,16.5
Mercedes-Benz,300-Class,1991,177.0,6.0,AUTOMATIC,RWD,4.0,Luxury,Midsize,Sedan,22,16,617,2000,petrol,Low,19.0
Mercedes-Benz,300-Class,1991,177.0,6.0,AUTOMATIC,RWD,4.0,Luxury,Large,Sedan,19,15,617,2124,petrol,Low,17.0
Mercedes-Benz,300-Class,1991,228.0,6.0,MANUAL,RWD,2.0,Performance,Compact,Convertible,21,14,617,3552,petrol,Low,17.5
Mercedes-Benz,300-Class,1991,217.0,6.0,AUTOMATIC,RWD,2.0,Luxury,Midsize,Coupe,22,15,617,2179,petrol,Low,18.5
Mercedes-Benz,300-Class,1991,121.0,5.0,AUTOMATIC,RWD,4.0,Luxury,Midsize,Sedan,30,23,617,2000,diesel,Low,26.5
Mercedes-Benz,300-Class,1992,121.0,5.0,AUTOMATIC,RWD,4.0,Luxury,Midsize,Sedan,29,23,617,2000,diesel,Low,26.0
Mercedes-Benz,300-Class,1992,228.0,6.0,AUTOMATIC,RWD,4.0,Luxury,Large,Sedan,17,14,617,2377,petrol,Low,15.5
Mercedes-Benz,300-Class,1992,228.0,6.0,MANUAL,RWD,2.0,Performance,Compact,Convertible,21,15,617,3814,petrol,Low,18.0
Mercedes-Benz,300-Class,1992,177.0,6.0,AUTOMATIC,AWD,4.0,Luxury,Midsize,Sedan,19,15,617,2207,petrol,Low,17.0
Mercedes-Benz,300-Class,1992,177.0,6.0,AUTOMATIC,RWD,4.0,Luxury,Midsize,Wagon,20,15,617,2000,petrol,Low,17.5
Mercedes-Benz,300-Class,1992,217.0,6.0,AUTOMATIC,RWD,2.0,Luxury,Midsize,Coupe,21,15,617,2248,petrol,Low,18.0
Mercedes-Benz,300-Class,1992,177.0,6.0,AUTOMATIC,RWD,4.0,Luxury,Midsize,Sedan,22,16,617,2065,petrol,Low,19.0
Mercedes-Benz,300-Class,1992,148.0,6.0,AUTOMATIC,RWD,4.0,Luxury,Large,Sedan,22,18,617,2547,diesel,Low,20.0
Mercedes-Benz,300-Class,1992,177.0,6.0,AUTOMATIC,AWD,4.0,Luxury,Midsize,Wagon,18,15,617,2282,petrol,Low,16.5
Mercedes-Benz,300-Class,1992,158.0,6.0,AUTOMATIC,RWD,4.0,Luxury,Midsize,Sedan,23,18,617,2000,petrol,Low,20.5
Mercedes-Benz,300-Class,1993,177.0,6.0,AUTOMATIC,AWD,4.0,Luxury,Midsize,Wagon,19,15,617,2544,petrol,Low,17.0
Mercedes-Benz,300-Class,1993,217.0,6.0,AUTOMATIC,RWD,2.0,Luxury,Midsize,Coupe,22,17,617,2397,petrol,Low,19.5
Mercedes-Benz,300-Class,1993,121.0,5.0,AUTOMATIC,RWD,4.0,Luxury,Midsize,Sedan,30,23,617,2000,diesel,Low,26.5
Mercedes-Benz,300-Class,1993,228.0,6.0,MANUAL,RWD,2.0,Performance,Compact,Convertible,21,14,617,4174,petrol,Low,17.5
Mercedes-Benz,300-Class,1993,217.0,6.0,AUTOMATIC,RWD,4.0,Luxury,Midsize,Sedan,22,17,617,2187,petrol,Low,19.5
Mercedes-Benz,300-Class,1993,148.0,6.0,AUTOMATIC,RWD,4.0,Luxury,Large,Sedan,22,18,617,2729,diesel,Low,20.0
Mercedes-Benz,300-Class,1993,177.0,6.0,AUTOMATIC,AWD,4.0,Luxury,Midsize,Sedan,19,15,617,2433,petrol,Low,17.0
Mercedes-Benz,300-Class,1993,194.0,6.0,AUTOMATIC,RWD,4.0,Luxury,Midsize,Sedan,23,17,617,2247,petrol,Low,20.0
Mercedes-Benz,300-Class,1993,228.0,6.0,AUTOMATIC,RWD,4.0,Luxury,Large,Sedan,18,14,617,2540,petrol,Low,16.0
Mitsubishi,3000GT,1997,218.0,6.0,MANUAL,FWD,2.0,Performance,Compact,Hatchback,23,17,436,3941,petrol,Low,20.0
Mitsubishi,3000GT,1997,161.0,6.0,MANUAL,FWD,2.0,Hatchback,Compact,Hatchback,22,17,436,3295,petrol,Low,19.5
Mitsubishi,3000GT,1997,320.0,6.0,MANUAL,AWD,2.0,Performance,Compact,Hatchback,22,16,436,6008,petrol,Low,19.0
Mitsubishi,3000GT,1998,320.0,6.0,MANUAL,AWD,2.0,Performance,Compact,Hatchback,22,16,436,6710,petrol,Low,19.0
Mitsubishi,3000GT,1998,161.0,6.0,MANUAL,FWD,2.0,Hatchback,Compact,Hatchback,22,17,436,3701,petrol,Low,19.5
Mitsubishi,3000GT,1998,218.0,6.0,MANUAL,FWD,2.0,Performance,Compact,Hatchback,23,17,436,4671,petrol,Low,20.0
